Broken_image,ID,Make,Supername,Year,Model,Status,Real,Type,Class,Perf. Class,Max Rank,Stars,Unlock,Star Value,Category,Brand,Series,Country,Reserve List,Desc. Source,Description,Broken_Image,,_1,_2,_3,_4,_5,_6,_7,_8
FALSE,3297,Alfa Romeo,,1999,Spider,,,,,,,,,,,Welly,1/60,,,,,,,,,,,,,,
FALSE,2472,Alfa Romeo,,2006,Spider (Brera),,,,,,,,,,Modern Sports Cars,Kyosho,Alfa Romeo Minicar Collection 2,,,,,,,,,,,,,,
FALSE,3579,Alfa Romeo,,2006,Spider (Brera),,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 2,,,,,,,,,,,,,,
FALSE,2126,Alfa Romeo,,2022,Stelvio,,,,,,,,,,,Matchbox,2024 Moving Parts,,,,,,,,,,,,,,
FALSE,2299,Alfa Romeo,,2022,Stelvio,,,Road,,,,,,,,Matchbox,2025 Moving Parts,,Yes,,,,,,,,,,,,
FALSE,1805,Alfa Romeo,,1989,SZ,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 1,Italy,Yes,,,,,,,,,,,,
FALSE,3509,Alfa Romeo,,1989,SZ (Es 30),,,,,,,,,,,Laudoracing,,,,,,,,,,,,,,,
FALSE,1800,Alfa Romeo,,2023,Tonale,,,,,,,,,,,Majorette,Alfa Romeo Series/Gift Pack,Italy,Yes,Alfa Romeo Louisville,"Unveiled at the 2019 Geneva International Motor Show, the Alfa Romeo Tonale is the brand�s new concept of a premium compact SUV. It�s also the first plug-in hybrid and the first premium compact SUV for Alfa Romeo.",,,,,,,,,,
FALSE,1801,Alfa Romeo,,2023,Tonale,,,,,,,,,,,Majorette,Alfa Romeo Series/Gift Pack,Italy,Yes,Alfa Romeo Louisville,"Unveiled at the 2019 Geneva International Motor Show, the Alfa Romeo Tonale is the brand�s new concept of a premium compact SUV. It�s also the first plug-in hybrid and the first premium compact SUV for Alfa Romeo.",,,,,,,,,,
FALSE,2125,Alfa Romeo,,2023,Tonale,,,,,,,,,,,Majorette,Racing Cars,,,,,,,,,,,,,,
FALSE,2449,Alfa Romeo,,2023,Tonale,,,,,,,,,,Sports Utility Heroes,Matchbox,2025 MBX City,,,,,,,,,,,,,,
FALSE,2665,Alfa Romeo,,2023,Tonale,,,,,,,,,,Sports Utility Heroes,Matchbox,2024 MBX Road Trip,,,,,,,,,,,,,,
FALSE,1808,Alfa Romeo,,1965,TZ2,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 2,Italy,Yes,,,,,,,,,,,,
FALSE,1809,Alfa Romeo,,2010,TZ3 Corsa,,,,,,,,,,,Kyosho,Alfa Romeo Minicar Collection 3,Italy,Yes,,,,,,,,,,,,
FALSE,3017,Alpha Motors,,2023,WOLF Electric Truck,,,,,,,,,,,Matchbox,2025 Moving Parts,,,,,,,,,,,,,,
FALSE,1247,AlphaTauri,Yuki Tsunoda's,2022,AT03,,,Race,X,,,,,,Apex Open-Wheel,Sparky,#22,Italy,Yes,,,,,,,,,,,,
FALSE,1112,Alpina,,1988,B6 3.5S,,,Road,B,,,,,,Retro Saloons,Mini GT,Alpina Blue #120,Germany,Yes,,,,,,,,,,,,
FALSE,3046,Alpina,,2020,B7 xDrive,,,,,,,,,,,Mini GT,#498 Alpina Green Metallic,,,,,,,,,,,,,,
FALSE,2529,Alpine,,1963,A110,,,,,,,,,,Retro Sports Cars,Majorette,Premium Cars,,,,,,,,,,,,,,
FALSE,15,Alpine,,2017,A110,Rare,Real,Road,D,#REF!,1560,????,MP League,4,Modern Sports Cars,Hot Wheels,2019 Factory Fresh,France,No,GT,"A masterpiece lightweight sports car from the reborn Alpine brand, combining elegance with performance.",,,,,,,,,,
